epoch,step,train_loss
0,49,1.8100899457931519
1,99,1.4544121026992798
2,149,1.2443674802780151
3,199,1.2708029747009277
4,249,1.0233060121536255
5,299,1.0545446872711182
6,349,1.0398235321044922
7,399,1.0992064476013184
8,449,1.023856520652771
9,499,1.0367923974990845
10,549,2.6808221340179443
11,599,2.4228322505950928
12,649,2.438009262084961
13,699,2.5670855045318604
14,749,2.2299609184265137
15,799,-0.2345765233039856
16,849,2.2979204654693604
17,899,2.2731964588165283
18,949,2.227895975112915
19,999,2.1244635581970215
20,1049,2.0877060890197754
21,1099,-0.4108346998691559
22,1149,2.1621944904327393
23,1199,2.241265058517456
24,1249,2.328727960586548
25,1299,2.26584792137146
26,1349,2.3348307609558105
27,1399,-0.2044665515422821
28,1449,2.1141154766082764
29,1499,2.2776124477386475
30,1549,2.0585107803344727
31,1599,2.1900081634521484
32,1649,2.27966570854187
33,1699,2.0414464473724365
34,1749,2.1101675033569336
35,1799,2.159271717071533
36,1849,2.1734206676483154
37,1899,2.2016403675079346
38,1949,2.100370168685913
39,1999,1.9721211194992065
40,2049,2.362229108810425
41,2099,2.3498685359954834
42,2149,2.0315210819244385
43,2199,2.0946245193481445
44,2249,2.1917219161987305
45,2299,2.0523383617401123
46,2349,1.9015175104141235
47,2399,1.926034688949585
48,2449,2.079317331314087
49,2499,1.8871755599975586
